,Title,Link,Rating,Release Year
86,Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_87,8.4,2009
87,Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_88,8.3,1952
88,Capharnaüm,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_89,8.4,2018
89,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_90,8.3,2000
90,Idi i smotri,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_91,8.4,1985
91,Toy Story ,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_92,8.3,2010
92,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_93,8.3,1983
93,Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_94,8.3,2023
94,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_95,8.3,2004
95,Jagten,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_96,8.3,2012
96,: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_97,8.3,1968
97,Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_98,8.3,1992
98,Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_99,8.3,1952
99,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_100,8.3,1962
100,The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_101,8.3,1960
101,North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_102,8.3,1959
102,Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_103,8.3,2010
103,Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_104,8.3,1941
104,Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_105,8.3,1958
105,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_106,8.3,1931
106,Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_107,8.3,1944
107,Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_108,8.3,1983
108,Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_109,8.3,1987
109,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_110,8.3,2001
110,Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_111,8.3,1995
111,A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_112,8.3,1971
112,Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_113,8.3,2009
113,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114,8.3,1962
114,The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_115,8.3,1973
115,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_116,8.3,2011
116,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_117,8.2,1989
117,Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_118,8.2,1988
118,Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_119,8.3,1927
119,Taare Zameen Par,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_120,8.3,2007
120,Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_121,8.2,2000
121,Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_122,8.3,2020
122,L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_123,8.2,1997
123,,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_124,8.2,2019
124,Ladri di biciclette,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_125,8.3,1948
125,Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_126,8.2,1976
126,Der Untergang,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_127,8.2,2004
127,Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_128,8.3,2016
128,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_129,8.2,1965
129,Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_130,8.2,2005
130,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_131,8.2,2013
131,Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_132,8.2,1959
132,Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_133,8.2,2018
133,The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_134,8.2,1921
134,The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_135,8.2,2020
135,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_136,8.3,1961
136,All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_137,8.2,1950
137,The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_138,8.2,1998
138,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_139,8.2,2022
139,Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_140,8.2,2010
